,season,match_id,inning,batting_team,batsman,batsman_runs,balls_faced,Strike-Rate,More-Than-30,More-Than-50,More-Than-100,4s,6s,dismissal_kind,fielder
150,2008,10,2,Mumbai Indians,L Ronchi,11,8.0,137.5,0,0,0,1.0,1.0,run out,B Lee
151,2008,10,2,Mumbai Indians,MA Khote,8,7.0,114.29,0,0,0,1.0,0.0,hit wicket,0
152,2008,10,2,Mumbai Indians,RV Uthappa,21,18.0,116.67,0,0,0,2.0,1.0,caught,RR Sarwan
153,2008,10,2,Mumbai Indians,SM Pollock,22,21.0,104.76,0,0,0,2.0,1.0,caught,Yuvraj Singh
154,2008,10,2,Mumbai Indians,SS Tiwary,17,10.0,170.0,0,0,0,2.0,1.0,bowled,0
155,2008,10,2,Mumbai Indians,ST Jayasuriya,1,7.0,14.29,0,0,0,0.0,0.0,caught and bowled,0
156,2008,11,1,Royal Challengers Bangalore,JH Kallis,11,10.0,110.0,0,0,0,2.0,0.0,caught,MM Patel
157,2008,11,1,Royal Challengers Bangalore,LRPL Taylor,44,20.0,220.0,1,0,0,6.0,3.0,caught,GC Smith
158,2008,11,1,Royal Challengers Bangalore,MV Boucher,4,10.0,40.0,0,0,0,0.0,0.0,caught,M Rawat
159,2008,11,1,Royal Challengers Bangalore,P Kumar,34,30.0,113.33,1,0,0,2.0,3.0,run out,M Rawat
160,2008,11,1,Royal Challengers Bangalore,R Dravid,0,1.0,0.0,0,0,0,0.0,0.0,caught,RA Jadeja
161,2008,11,1,Royal Challengers Bangalore,R Vinay Kumar,1,1.0,100.0,0,0,0,0.0,0.0,0,0
162,2008,11,1,Royal Challengers Bangalore,S Chanderpaul,2,9.0,22.22,0,0,0,0.0,0.0,caught,RA Jadeja
163,2008,11,1,Royal Challengers Bangalore,SB Joshi,3,8.0,37.5,0,0,0,0.0,0.0,run out,Sohail Tanvir
164,2008,11,1,Royal Challengers Bangalore,V Kohli,13,14.0,92.86,0,0,0,0.0,1.0,caught,M Rawat
165,2008,11,1,Royal Challengers Bangalore,Z Khan,17,18.0,94.44,0,0,0,2.0,0.0,0,0
166,2008,11,2,Rajasthan Royals,GC Smith,49,42.0,116.67,1,0,0,8.0,0.0,caught,A Kumble
167,2008,11,2,Rajasthan Royals,M Kaif,4,6.0,66.67,0,0,0,1.0,0.0,0,0
168,2008,11,2,Rajasthan Royals,M Rawat,0,2.0,0.0,0,0,0,0.0,0.0,caught,MV Boucher
169,2008,11,2,Rajasthan Royals,SR Watson,61,41.0,148.78,1,1,0,8.0,2.0,0,0
170,2008,11,2,Rajasthan Royals,YK Pathan,21,12.0,175.0,0,0,0,5.0,0.0,caught,MV Boucher
171,2008,12,1,Kolkata Knight Riders,AB Agarkar,11,9.0,122.22,0,0,0,1.0,0.0,caught,M Muralitharan
172,2008,12,1,Kolkata Knight Riders,BB McCullum,24,12.0,200.0,0,0,0,2.0,2.0,caught,SK Raina
173,2008,12,1,Kolkata Knight Riders,DJ Hussey,0,2.0,0.0,0,0,0,0.0,0.0,caught,S Badrinath
174,2008,12,1,Kolkata Knight Riders,I Sharma,4,3.0,133.33,0,0,0,0.0,0.0,0,0
175,2008,12,1,Kolkata Knight Riders,LR Shukla,42,33.0,127.27,1,0,0,4.0,1.0,run out,MS Dhoni
176,2008,12,1,Kolkata Knight Riders,M Kartik,3,3.0,100.0,0,0,0,0.0,0.0,caught and bowled,0
177,2008,12,1,Kolkata Knight Riders,Mohammad Hafeez,16,24.0,66.67,0,0,0,1.0,0.0,caught,Joginder Sharma
178,2008,12,1,Kolkata Knight Riders,RT Ponting,0,1.0,0.0,0,0,0,0.0,0.0,caught,SK Raina
179,2008,12,1,Kolkata Knight Riders,SC Ganguly,12,19.0,63.16,0,0,0,1.0,0.0,caught,S Badrinath
180,2008,12,1,Kolkata Knight Riders,WP Saha,27,16.0,168.75,0,0,0,5.0,1.0,bowled,0
181,2008,12,2,Chennai Super Kings,ML Hayden,70,49.0,142.86,1,1,0,6.0,3.0,0,0
182,2008,12,2,Chennai Super Kings,MS Dhoni,43,27.0,159.26,1,0,0,3.0,2.0,0,0
183,2008,12,2,Chennai Super Kings,PA Patel,21,27.0,77.78,0,0,0,3.0,0.0,caught,I Sharma
184,2008,13,1,Mumbai Indians,AM Nayar,34,19.0,178.95,1,0,0,1.0,3.0,caught,AC Gilchrist
185,2008,13,1,Mumbai Indians,AM Rahane,0,7.0,0.0,0,0,0,0.0,0.0,caught,PP Ojha
186,2008,13,1,Mumbai Indians,DJ Bravo,34,18.0,188.89,1,0,0,3.0,1.0,caught,PP Ojha
187,2008,13,1,Mumbai Indians,L Ronchi,13,11.0,118.18,0,0,0,3.0,0.0,caught,VVS Laxman
188,2008,13,1,Mumbai Indians,MA Khote,7,10.0,70.0,0,0,0,1.0,0.0,0,0
189,2008,13,1,Mumbai Indians,RV Uthappa,6,5.0,120.0,0,0,0,1.0,0.0,caught,AC Gilchrist
190,2008,13,1,Mumbai Indians,SM Pollock,31,31.0,100.0,1,0,0,3.0,1.0,bowled,0
191,2008,13,1,Mumbai Indians,ST Jayasuriya,18,21.0,85.71,0,0,0,2.0,0.0,caught,RG Sharma
192,2008,13,2,Deccan Chargers,AC Gilchrist,109,47.0,231.91,1,1,1,9.0,10.0,0,0
193,2008,13,2,Deccan Chargers,VVS Laxman,37,26.0,142.31,1,0,0,4.0,1.0,0,0
194,2008,14,1,Delhi Daredevils,G Gambhir,18,14.0,128.57,0,0,0,3.0,0.0,caught,Yuvraj Singh
195,2008,14,1,Delhi Daredevils,KD Karthik,24,14.0,171.43,0,0,0,2.0,1.0,bowled,0
196,2008,14,1,Delhi Daredevils,MF Maharoof,18,12.0,150.0,0,0,0,2.0,0.0,run out,DPMD Jayawardene
197,2008,14,1,Delhi Daredevils,MK Tiwary,39,34.0,114.71,1,0,0,6.0,0.0,caught,Yuvraj Singh
198,2008,14,1,Delhi Daredevils,R Bhatia,17,15.0,113.33,0,0,0,1.0,1.0,bowled,0
199,2008,14,1,Delhi Daredevils,S Dhawan,0,3.0,0.0,0,0,0,0.0,0.0,caught,KC Sangakkara
200,2008,14,1,Delhi Daredevils,Shoaib Malik,19,17.0,111.76,0,0,0,3.0,0.0,caught,B Lee
