batsman,2008,2009,2010,2011,2012,2013,2014,2015,2016
MJ McClenaghan,,,,,,,,13.0,34.0
HV Patel,,,,,15.0,,13.0,19.0,
TG Southee,,,,,,,4.0,13.0,30.0
Yashpal Singh,,47.0,,,,,,,
SP Narine,,,,,9.0,21.0,10.0,0.0,7.0
Sunny Singh,,,,43.0,,,,,
IR Jaggi,,,,28.0,15.0,,,,
SK Trivedi,5.0,9.0,20.0,0.0,5.0,3.0,,,
JDS Neesham,,,,,,,42.0,,
AB Barath,,,42.0,,,,,,
Ishan Kishan,,,,,,,,,42.0
VR Aaron,,,,0.0,1.0,,35.0,6.0,
A Nehra,3.0,1.0,23.0,,11.0,1.0,,1.0,1.0
LPC Silva,40.0,,,,,,,,
BR Dunk,,,,,,,40.0,,
MM Patel,0.0,33.0,4.0,0.0,2.0,,,,
AUK Pathan,,,,33.0,6.0,,,,
Umar Gul,39.0,,,,,,,,
DJ Thornely,39.0,,,,,,,,
JO Holder,,,,,,,16.0,,22.0
NM Coulter-Nile,,,,,,9.0,,20.0,9.0
S Narwal,,,14.0,,,23.0,,,
I Sharma,11.0,16.0,6.0,4.0,,,,,
Sohail Tanvir,36.0,,,,,,,,
L Balaji,0.0,4.0,18.0,4.0,,9.0,1.0,,
AN Ahmed,,,4.0,18.0,,,4.0,10.0,
Joginder Sharma,16.0,20.0,,0.0,,,,,
KW Richardson,,,,,,34.0,1.0,,1.0
B Sumanth,,,35.0,,,,,,
A Kumble,13.0,16.0,6.0,,,,,,
A Mithun,,,5.0,27.0,,2.0,,,
S Sreesanth,0.0,5.0,27.0,1.0,,1.0,,,
L Ronchi,34.0,0.0,,,,,,,
AP Dole,,,34.0,,,,,,
D Salunkhe,33.0,,,,,,,,
RJ Peterson,,,,,32.0,,,,
S Sriram,,,27.0,4.0,,,,,
T Taibu,31.0,,,,,,,,
C Munro,,,,,,,,,30.0
VH Zol,,,,,,,29.0,,
J Syed Mohammad,,,,15.0,4.0,10.0,,,
SB Jakati,,20.0,,,7.0,,,,1.0
